Marine Scotland Site ID,Date Registered,Site Name,National Grid Reference,Local Authority,Producing in Last 3 Years,Site Address 1,Site Address 2,Site Address 3,Site Post Code,Site Contact Number,Aquaculture Type,Water Type,Health Surveillance,Easting,Northing,MS Management Area,Region,Operator,Species
SS0484,15-Dec-91,Cragaig E,NM405389,Argyll and Bute,No,N/A,,,,,Shellfish,Seawater,,140500,738900,,Strathclyde,Isle of Ulva Oysters,"N/A, Pacific Oyster"
SS0382,29-May-90,Cragaig W,NM402389,Argyll and Bute,No,N/A,,,,,Shellfish,Seawater,,140200,738900,,Strathclyde,Isle of Ulva Oysters,"Pacific Oyster, N/A"
SS0351,02-Mar-89,Craig Ulian,NM780174,Argyll and Bute,No,N/A,,,,,Shellfish,Seawater,,178000,717400,,Strathclyde,Seil Sound Shellfish,"N/A, Pacific Oyster"
SS0595,15-Mar-00,"Creag An Rainich, Loch Leurbost",NB373249,Western Isles,Yes,10 Ranish,Lochs,,HS2 9NN,,Shellfish,Seawater,Medium,137300,924900,5a - E Lewis,Western Isles,Western Isles Mussels,"Common mussel, N/A"
FS0605,13-Nov-90,Creag an T'Sagairt (Loch Hourn),NG803096,Highland,Yes,Arnisdale,Glenelg,Ross-shire,IV40 8JH,,Fish,Seawater,Low,180300,809600,14b - Hourn,Highland,Mowi Scotland Ltd,"Atlantic Salmon, Lumpsucker, Wrasse, N/A"
SS0543,01-Oct-95,Creagan Farm,NM974446,Argyll and Bute,Yes,Achalic Farm,"Lerags, Oban",Argyll,PA34 4SE,,Shellfish,Seawater,Low,197400,744600,"15b - Linnhe, Firth of Lorne, Sound of Mull and Loch Sunart",Strathclyde,Creagan Oysters,"Pacific Oyster, N/A"
FS1202,09-Sep-10,Crimond Hatchery,NK039574,Aberdeenshire,No,N/A,,,,,Fish,Freshwater,Low,403900,857400,Not in a management area,Grampian,Ugie Angling Association Hatchery,"Brown Trout and sea trout, N/A, Atlantic Salmon"
SS0497,21-Oct-92,Croggan Bay,NM707273,Argyll and Bute,Yes,New House,"Croggan, Craignure","Isle of Mull, Argyll",PA63 6AH,,Shellfish,Seawater,Low,170700,727300,16c - Loch Spelve,Strathclyde,Croggan Oysters,"N/A, Pacific Oyster"
SS0834,06-Sep-11,Cromarty Bay East,NH752657,Highland,No,N/A,,,,,Shellfish,Seawater,Low,275200,865700,Not in a management area,Highland,MacKenzie Oysters,"Pacific Oyster, N/A"
SS0830,08-Jun-11,Cromarty Bay West,NH744659,Highland,No,29 Holm Dell Drive,,,IV2 4GX,,Shellfish,Seawater,Low,274400,865900,Not in a management area,Highland,MacKenzie Oysters,"N/A, Pacific Oyster, Common mussel"
SS0612,01-Nov-00,Croo Taing,HU602999,Shetland,Yes,Maundeville,"Uyeasound, Unst",,ZE2 9DL,,Shellfish,Seawater,Low,460200,1199900,"1b - S Unst, E Yell, Fetlar",Shetland,Unst Shellfish,"N/A, Common mussel"
FS0213,05-Feb-92,Crooie,HU398340,Shetland,No,North House,Taing Burra Isle,Shetland,-,,Fish,Seawater,Medium,439800,1134000,3a - SW Shetland mainland,Shetland,Scottish Sea Farms Ltd,"Wrasse, N/A, Atlantic Salmon, Lumpsucker"
